City,Country,Latitude,Longitude,Temp(F),Humidity,Cloudiness,Wind Speed
Nantucket,US,41.28,-70.1,41.09,44,1,17.22
Haapiti,PF,-17.57,-149.87,86,70,75,4.7
Pochutla,MX,15.74,-96.47,86.41,66,40,9.17
Usinsk,RU,66,57.56,32.55,95,92,10.65
Namatanai,PG,-3.66,152.44,82.41,100,0,4.61
Sao Miguel do Araguaia,BR,-13.28,-50.16,87.09,83,8,2.93
Panzhihua,CN,26.59,101.72,50.46,42,0,3.83
Mildura,AU,-34.18,142.16,61.9,55,0,4.7
Abu Kamal,SY,34.45,40.92,48.57,57,0,7.4
Buchanan,LR,5.88,-10.05,82.4,83,20,6.62
Atchison,US,39.56,-95.12,57.47,67,1,20.8
Galle,US,29.74,-97.91,67.32,28,90,12.75
Hami,CN,42.84,93.51,29.4,79,12,3.04
Quesnel,CA,52.98,-122.49,46.24,48,1,2.24
Harnoli,PK,32.28,71.55,55.05,93,92,4.61
Ukiah,US,39.15,-123.21,64.47,39,20,3.36
Latung,ID,-8.45,120.42,73.68,97,88,4.16
Zelenoborsk,RU,61.47,64.05,23.1,88,0,6.73
Cam Ranh,VN,11.92,109.15,77,83,20,3.36
Santa Isabel do Rio Negro,BR,-0.41,-65.02,86.73,72,8,2.15
Apatity,RU,67.57,33.4,24.09,84,56,3.15
Mandalgovi,MN,45.76,106.27,15.99,70,76,19.48
Shimoda,JP,34.7,138.93,46.9,54,0,1.01
Tucuman,PE,-17.17,-70.89,71.88,47,0,3.71
Tahe,CN,52.34,124.71,5.19,71,0,3.94
Tuatapere,NZ,-46.13,167.69,57.99,94,80,3.94
Codajas,BR,-3.84,-62.06,89.25,61,8,4.38
Ouadda,CF,8.07,22.4,82.68,25,0,13.78
Hovd,NO,63.83,10.7,41.83,35,0,13.87
Beira,ES,43.2,-8.36,50.11,76,75,8.05
Talitsa,RU,57.01,63.73,11.04,78,0,6.4
Vanavara,RU,60.35,102.28,1.68,67,8,2.59
Chapais,CA,49.78,-74.86,23,35,1,11.41
Kodinsk,RU,58.6,99.18,16.8,79,48,2.37
Fengrun,CN,39.83,118.12,53.7,61,92,3.6
Havre-Saint-Pierre,CA,50.23,-63.6,19.4,52,1,10.29
Ligayan,PH,4.65,119.47,79.17,100,76,6.96
Veinticinco de Mayo,AR,-27.38,-54.75,78.63,84,20,2.71
Alekseyevka,RU,53.25,50.49,32,65,0,6.71
Itoman,JP,26.12,127.67,58.5,67,20,3.36
Muisne,EC,0.61,-80.02,82.4,88,75,5.82
Pontian Kecil,MY,1.48,103.39,79.79,83,75,2.24
Bira,RU,49,132.47,18.6,82,88,2.48
Erode,IN,11.33,77.73,74.67,72,0,5.39
Olonets,RU,60.98,32.97,33.9,97,88,2.48
Santa Cruz del Norte,CU,23.15,-81.92,78.51,74,75,10.29
Hamilton,BM,32.3,-64.78,64.13,93,90,9.17
Gravelbourg,CA,49.88,-106.56,48.03,65,32,10.2
Jumla,NP,29.28,82.18,21.12,94,8,2.59
Batemans Bay,AU,-35.71,150.18,59.22,97,64,3
Devonport,AU,-41.18,146.36,62.01,95,20,2.82
Bangolo,CI,7.01,-7.49,72.15,97,64,3.27
Mehamn,NO,71.03,27.85,24.6,79,20,11.41
Mbuji-Mayi,CD,-6.13,23.6,70.8,96,24,2.93
Karakol,KG,42.49,78.39,22.29,95,68,1.92
Broome,GB,52.47,1.45,49.3,81,75,5.82
Aden,YE,12.79,45.03,79.26,96,0,14
Vydrino,RU,51.46,104.64,14,38,64,10
Belyy Yar,RU,53.6,91.39,19.4,73,88,2.24
Kiunga,PG,-6.12,141.3,73.32,96,48,2.15
Yauya,PE,-8.99,-77.29,52.53,92,92,2.15
Ilhabela,BR,-23.78,-45.36,80.52,97,0,9.75
Jasidih,IN,24.51,86.65,58.83,66,0,4.38
Coruripe,BR,-10.12,-36.18,84.48,92,0,17.69
Palpa,PE,-14.53,-75.19,66.84,71,44,2.82
Port Macquarie,AU,-31.43,152.91,62.85,100,0,4.7
Leningradskiy,RU,69.38,178.42,-5.97,84,56,35.93
Chifeng,CN,42.27,118.96,53.25,43,92,8.19
Myingyan,MM,21.46,95.39,69,82,0,6.96
Cradock,ZA,-32.16,25.62,59.73,86,0,2.71
Prince Albert,CA,53.2,-105.75,48.2,49,75,16.11
Nouadhibou,MR,20.93,-17.03,64.4,82,76,18.34
Durusu,TR,37.53,40.83,37.65,56,0,11.41
Canmore,CA,51.09,-115.35,58.15,37,1,3.36
Awbari,LY,26.59,12.77,65.94,21,0,8.75
Puerto del Rosario,ES,28.5,-13.86,64.4,77,75,14.99
Thinadhoo,MV,0.53,72.93,84.93,100,92,8.3
Okha,RU,53.59,142.95,-8.31,64,0,3.83
Zhigalovo,RU,54.81,105.15,14.55,77,88,2.15
Myitkyina,MM,25.38,97.4,61.08,98,92,2.59
Kondinskoye,RU,59.65,67.41,19.5,90,0,6.4
Campechuela,CU,20.24,-77.28,82.05,95,0,12.77
